No,AIスコア,出願番号,出願日,公開・公表番号,公開・公表日,登録番号,登録日,出願人・権利者名,発明の名称,ステイタス
1,,,,特開2026-70800,2026.04.28,,,未調査,,通常審査中
2,,,,特開2026-69331,2026.04.23,,,未調査,,通常審査中
3,,,,特開2026-66788,2026.04.17,,,未調査,,通常審査中
4,,,,特開2026-66097,2026.04.16,,,未調査,,通常審査中
5,,,,特開2026-64517,2026.04.14,,,未調査,,通常審査中
6,,,,特開2026-63466,2026.04.10,,,未調査,,通常審査中
7,,,,特開2026-63055,2026.04.10,,,未調査,,通常審査中
8,,,,特開2026-62051,2026.04.09,,,未調査,,通常審査中
9,,,,特開2026-60795,2026.04.08,,,未調査,,通常審査中
10,,,,特開2026-59892,2026.04.08,,,未調査,,通常審査中
11,,,,特開2025-184591,2025.12.18,,,未調査,,通常審査中
12,,,,特開2025-184502,2025.12.18,,,未調査,,通常審査中
13,,,,特開2025-184404,2025.12.18,,,未調査,,通常審査中
14,,,,特開2025-184180,2025.12.18,,,未調査,,通常審査中
15,,,,,,特許第7843458号,2026.04.10,未調査,,登録（権利有）
16,,,,,,特許第7839972号,2026.04.03,未調査,,登録（権利有）
17,,,,,,特許第7814796号,2026.02.17,未調査,,登録（権利有）
18,,,,,,特許第7792585号,2025.12.26,未調査,,登録（権利有）
19,,,,,,特許第7702665号,2025.07.04,未調査,,登録（権利有）
20,,,,,,特許第7659619号,2025.04.09,未調査,,登録（権利有）
21,,,,特開2026-59248,2026.04.07,,,未調査,,通常審査中
22,,,,特開2026-59406,2026.04.07,,,未調査,,通常審査中
23,,,,特開2026-57121,2026.04.02,,,未調査,,通常審査中
24,,,,特開2026-57287,2026.04.02,,,未調査,,通常審査中
25,,,,特開2026-54195,2026.03.26,,,未調査,,通常審査中
26,,,,特開2026-51660,2026.03.23,,,未調査,,通常審査中
27,,,,特開2026-49250,2026.03.18,,,未調査,,通常審査中
28,,,,特開2026-49548,2026.03.18,,,未調査,,通常審査中
29,,,,特開2026-47521,2026.03.16,,,未調査,,通常審査中
30,,,,特開2026-46099,2026.03.13,,,未調査,,通常審査中
31,,,,特開2026-46100,2026.03.13,,,未調査,,通常審査中
32,,,,特開2026-47183,2026.03.13,,,未調査,,通常審査中
33,,,,特開2026-43278,2026.03.12,,,未調査,,通常審査中
34,,,,特開2026-44954,2026.03.12,,,未調査,,通常審査中
35,,,,特開2026-42313,2026.03.11,,,未調査,,通常審査中
36,,,,特開2026-37765,2026.03.06,,,未調査,,通常審査中
37,,,,特開2026-34612,2026.02.27,,,未調査,,通常審査中
38,,,,特開2026-32296,2026.02.26,,,未調査,,通常審査中
39,,,,特開2026-31661,2026.02.24,,,未調査,,通常審査中
40,,,,特開2026-28427,2026.02.20,,,未調査,,通常審査中
41,,,,特開2026-28589,2026.02.20,,,未調査,,通常審査中
42,,,,特開2026-30735,2026.02.20,,,未調査,,通常審査中
43,,,,特開2026-27192,2026.02.18,,,未調査,,通常審査中
44,,,,特開2026-16906,2026.02.04,,,未調査,,通常審査中
45,,,,特開2026-13954,2026.01.29,,,未調査,,通常審査中
46,,,,特開2026-14296,2026.01.29,,,未調査,,通常審査中
47,,,,特開2026-14297,2026.01.29,,,未調査,,通常審査中
48,,,,特開2026-14592,2026.01.29,,,未調査,,通常審査中
49,,,,特開2026-14642,2026.01.29,,,未調査,,通常審査中
50,,,,特開2026-14662,2026.01.29,,,未調査,,通常審査中
51,,,,特開2026-14663,2026.01.29,,,未調査,,通常審査中
52,,,,特開2026-14665,2026.01.29,,,未調査,,通常審査中
53,,,,特開2026-14793,2026.01.29,,,未調査,,通常審査中
54,,,,特開2026-8337,2026.01.19,,,未調査,,通常審査中
55,,,,特開2026-8394,2026.01.19,,,未調査,,通常審査中
56,,,,特開2026-6618,2026.01.16,,,未調査,,通常審査中
57,,,,特開2026-6742,2026.01.16,,,未調査,,通常審査中
58,,,,特開2026-6745,2026.01.16,,,未調査,,通常審査中
59,,,,特開2026-7420,2026.01.16,,,未調査,,通常審査中
60,,,,特開2026-7517,2026.01.16,,,未調査,,通常審査中
61,,,,特開2026-4799,2026.01.15,,,未調査,,通常審査中
62,,,,特開2026-4893,2026.01.15,,,未調査,,通常審査中
63,,,,特開2026-5036,2026.01.15,,,未調査,,通常審査中
64,,,,特開2026-3178,2026.01.13,,,未調査,,通常審査中
65,,,,特開2026-93,2026.01.05,,,未調査,,通常審査中
66,,,,特開2025-83912,2025.06.02,,,未調査,,通常審査中
67,,,,,,特許第7641515号,2025.03.07,未調査,,登録（権利有）
68,,,,,,特許第7639138号,2025.03.04,未調査,,登録（権利有）
69,,,,,,特許第7613615号,2025.01.15,未調査,,登録（権利有）
70,,,,特開2024-172352,2024.12.12,,,未調査,,通常審査中
71,,,,特開2024-170953,2024.12.11,,,未調査,,通常審査中
72,,,,,,特許第7591750号,2024.11.29,未調査,,登録（権利有）
73,,,,特開2024-158271,2024.11.08,,,未調査,,通常審査中
74,,,,特開2024-152428,2024.10.25,,,未調査,,通常審査中
75,,,,,,特許第7556183号,2024.09.25,未調査,,登録（権利有）
76,,,,,,特許第7539084号,2024.08.23,未調査,,登録（権利有）
77,,,,,,特許第7523088号,2024.07.26,未調査,,登録（権利有）
78,,,,,,特許第7515074号,2024.07.12,未調査,,登録（権利有）
79,,,,,,特許第7511142号,2024.07.05,未調査,,登録（権利有）
80,,,,特開2024-83389,2024.06.21,,,未調査,,通常審査中
81,,,,,,特許第7503754号,2024.06.21,未調査,,登録（権利有）
82,,,,特表2024-513161,2024.03.22,,,未調査,,通常審査中
83,,,,特開2024-17906,2024.02.08,,,未調査,,通常審査中
84,,,,特開2024-13720,2024.02.01,,,未調査,,通常審査中
85,,,,,,特許第7422267号,2024.01.25,未調査,,登録（権利有）
86,,,,特開2024-3421,2024.01.15,,,未調査,,通常審査中
87,,,,特開2023-184517,2023.12.28,,,未調査,,通常審査中
88,,,,,,特許第7390680号,2023.12.04,未調査,,登録（権利有）
89,,,,特開2023-166927,2023.11.22,,,未調査,,通常審査中
90,,,,特開2023-164910,2023.11.14,,,未調査,,通常審査中
91,,,,特開2023-164931,2023.11.14,,,未調査,,通常審査中
92,,,,特開2023-131471,2023.09.22,,,未調査,,通常審査中
93,,,,特表2023-525724,2023.06.19,,,未調査,,通常審査中
94,,,,特表2023-524803,2023.06.13,,,未調査,,通常審査中
95,,,,特表2023-508765,2023.03.03,,,未調査,,通常審査中
96,,,,,,特許第7186914号,2022.12.09,未調査,,登録（権利有）
97,,,,特開2022-182127,2022.12.08,,,未調査,,通常審査中
98,,,,,,特許第7179941号,2022.11.29,未調査,,登録（権利有）
99,,,,特表2022-549531,2022.11.25,,,未調査,,通常審査中
100,,,,特開2022-169488,2022.11.09,,,未調査,,通常審査中
101,,,,,,特許第7157281号,2022.10.19,未調査,,登録（権利有）
102,,,,特開2022-141465,2022.09.29,,,未調査,,通常審査中
103,,,,特開2022-141514,2022.09.29,,,未調査,,通常審査中
104,,,,,,特許第7126639号,2022.08.26,未調査,,登録（権利有）
105,,,,特開2022-112360,2022.08.02,,,未調査,,通常審査中
106,,,,特開2022-102930,2022.07.07,,,未調査,,通常審査中
107,,,,特開2022-88714,2022.06.15,,,未調査,,通常審査中
108,,,,特開2022-2851,2022.01.11,,,未調査,,通常審査中
109,,,,特開2021-162370,2021.10.11,,,未調査,,通常審査中
110,,,,特開2021-82043,2021.05.27,,,未調査,,通常審査中
111,,,,特開2021-7970,2021.01.28,,,未調査,,通常審査中
112,,,,特開2020-189305,2020.11.26,,,未調査,,通常審査中
